characters,text,cAGR,cCON,cEXT,cOPN,cNEU
Richard,"Richard: But... he gets it back, pass to the middle, lines it up and... BAM! Yes! Could that shot BE any prettier? Richard: Well, we had a table in college. Richard: Nice moustache by the way. When puberty hits that thing's really gonna kick in. Richard: Ok, just one more point. Richard: Is everything all right? Richard: Uh-oh. Richard: Well. Richard: Uh, you guys see me as a dad? Richard: Uh-huh, yeah. Richard: That's fine. Well, your other dad and I are gonna go have a romantic evening and I guess I'll just see you kids around. ",3.0,2.0,2.0,1.0,3.0
Rachel Green,"Rachel Green: Now, now the one in the feather boa, that's Dr. Francis. Now, she used to be a man. Okay, now look, see, there's Raven. We hate her. We're glad she's dying. Okay- (Marcel pushes down a cushion to reveal a shoe) Wh- wh- Marcel, are you playing with Monica's shoes? You know you're not supposed to pl- whoah. Marcel, did you poo in the shoe? (Takes the shoe into the kitchen) Marcel, bad monkey! Oh! Oh! (She notices the newsletter and taps the contents of the shoes onto it, then folds it shut) Sorry, Barry. Little engagement gift. I'm sure you didn't register for that. (She leaves the apartment holding the newsletter at arm's length. However, she leaves the door open. Marcel runs out in the opposite direction. There is a shot from the TV and Rachel runs back in) Who died? Who died? Roll him over! Oh, c'mon, roll him over! Oh...! Well, we know it wasn't Dexter, right Marcel? Because- (Looks down and notices he is missing) Marcel? Marc- (Notices the open door) Rachel Green: I don't know. We were watching TV, and then he pooped in Monica's shoe- Rachel Green: I don't know. The left one. Rachel Green: Oh. Oh, those little clunky Amish things you think go with everything. ",1.0,1.0,1.0,2.0,3.0
Joey,"Joey: Why don't we just go on two. Joey: Because it's faster. Joey: All right, but in the future... Joey: So we are going on two? Joey: Wow, it's big! ",3.0,2.0,3.0,3.0,3.0
Chip,"Chip: Here, we are. Chip: The what? Chip: No, I think it's cute. (kisses her) Chip: So you still in touch with anyone from high school? Chip: Oh yeah, I still hang with Simmons and Zana, y'know. I see Spindler a lot. Devane, Kelly, and I run into Goldie from time to time. Steve Brown, Zuchoff, McGwire, J.T., Breadsly. ",1.0,1.0,3.0,1.0,-1.0
Chandler Bing,"Chandler Bing: I think it's great. Y'know, it's sweet, it's romantic... Chandler Bing: No, you kidding? The guy's a freak.. (Ross enters off camera) Chandler Bing: Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight. Chandler Bing: You gotta do it, man. ",1.0,0.0,1.0,1.0,0.0
Rachel,"Rachel: Let me see that. (Monica shows her) Oh, yeah. Rachel: Well, y'know, sometimes that helps. (She realises what that could've meant.) ",2.0,1.0,1.0,1.0,0.0
Ross,"Ross: Chandler! Chandler! Ross: Whoa! Whoa! Whoa! What's with the tackling? Ross: Okay, you wanna play rough, we can play rough. Ross: Hey, where'd you get that? Ross: It's no surprise that your winning, 'cause you got to pick first, so you got the better team. Ross: What?! The guys against the girls? See, that's ridiculous Monica, because I'm only down by three touchdowns. Ross: Fine, fine, Rachel your with Monica, Joey you're with me. ",0.0,0.0,2.0,0.0,1.0
Phoebe,"Phoebe: We could eat the wax! It's organic. Phoebe: No, not the used wax. ",2.0,1.0,2.0,0.0,1.0
Ross Geller,"Ross Geller: Where exactly is your zoo? Ross Geller: Yes. Ross Geller: No-no, he's, he's very docile. Ross Geller: Well I, I don't know. Why? Ross Geller: He can hold a banana, if that's whatcha mean... Ross Geller: Why- why- why would he need a blade? ",2.0,1.0,3.0,0.0,0.0
Rachel,"Rachel: (to Phoebe) Well that was depressing, I think I just bought a soft pretzel from one of the kids from Fame. Ready to go to the movies? Rachel: This is Bonnie? (to Phoebe) This is Bonnie? (to Bonnie) You're Bonnie? Rachel: Oh no, I'm sorry, you look a lot different from the last time I-I saw you. Rachel: Oh, that must be it. Rachel: (to Phoebe) You said she was bald. Rachel: How could you not tell me that she has hair? Rachel: (looks in the window) Ohh, well, this is just perfect! ",3.0,2.0,3.0,2.0,2.0
Robin,"Robin: Keep on scooching. Robin: Why? Why?! What's wrong with me?! Robin: I have a feelin'... I, my wife is sleeping with her gynaecologist. Robin: Well y'know, he's got access. Robin: Y'know it's that feeling you get, y'know? Robin: That's the one. Robin: Why is this happening to me?! I don't know, maybe it's my wound. Robin: No-no, it's ooozing, oozing. (to Rachel) Could you pass me the cream? Is there any-Oh, there's the cream. Robin: What is it, Tim? ",1.0,-1.0,0.0,0.0,1.0
Rachel,"Rachel: (on the phone) No, no, no, I'm looking at a purchase order right here and it clearly states that we ordered the Rivera bikini in a variety of sizes and colours. And.... (listens) What does it matter, what I'm wearing?! Can I please speak to your supervisor? (listens) Thank you. (to Sophie) We're holding. Rachel: (startled) Oh!! My God, what are you doing here? Rachel: Ross honey, this is very nice, but, but I-I got a crisis. Rachel: Honey, honey, I'm sorry, I know it's our anniversary but I told you on the phone I don't have time to stop. Rachel: But I don't, hmm... (on phone) Oh, who approved that order?! (listens) Well there is no Mark Robbinson in this office. (to Sophie) Get me Mark on the phone! Rachel: Well, let me just check that with what I got here, all right see 038 is not the number for (Ross starts making a lot of noise with a handheld pepper grinder) this store, 038 is Atlanta. And I...(stops and looks at Ross) Rachel: (angrily) None for me. Rachel: I'm sorry, as I was saying the store number is wrong, and I'm sorry but that's... (notices a fire that Ross's candle has started) Oh my God!! Rachel: (on phone) Excuse me, I'm sorry, I'm gonna have to call you back, I've got a Schemp in my office. (hangs up) (to Ross) What are you doing? Rachel: Ross you're not listening to me, I don't have time to stop. Rachel: I don't have ten minutes!! Rachel: Hey, Ross!!! I told you I don't! ",0.0,2.0,2.0,0.0,1.0
Frannie,"Frannie: Hey, Monica! Frannie: You had sex, didn't you? ",0.0,2.0,3.0,3.0,-1.0
Phoebe,"Phoebe: (thinking to herself) Okay, baseball. Rick, playing baseball. Okay, slides into second, maybe even his pants come down a little... Oh no-wait no, no! No! Okay, all right, sandwiches, sandwiches. Umm, okay, on a plate, maybe Rick's pants come down a little. No! No! Okay, Chandler! Okay Chandler, ooh, that's working. Phoebe: (thinking to herself) Chandler's knees. Chandler's... ankles. Chandler's ankle hair. (notices the clock) Oh no. (to Rick) Okay, you're all set. Phoebe: Yeah! In... really long hour world. Phoebe: Ugh, okay, I have an enormous crush on you. But because you're a client, I can't ask you out, even though you give me y'know, the feeling. Phoebe: Really?! Phoebe: What? Phoebe: (laughs) Okay, quit down. (they start to kiss again) ",0.0,-1.0,1.0,2.0,-1.0
Monica,"Monica: This totally makes sense! Monica: Oh, sure it does! In high school, you weren't jealous at all even though all your girlfriends were cheating on you! Monica: This is so much fun! ",-2.0,-1.0,1.0,0.0,-2.0
Monica,"Monica: (to Phoebe) Here you go. You can wear this. (hands her a sweater) Monica: Uh-huh. Monica: Phoebe? Monica: All right. Honey, that's-that's a sleeve. Okay? Monica: And! We also have speaker phone. (She turns on the speaker phone.) Monica: Okay, wait, you gotta hang up 'cause we're gonna be late. ",1.0,1.0,1.0,0.0,2.0
Monica,"Monica: All right, come on guys, let's go! Tie score, and we're runnin' out of time. Forty-two!! Thirty-eight!! Hike! (the timer sounds as Monica throws the ball to Phoebe.) Monica: Run, Phoebe, run! Monica: After the snap! ",1.0,1.0,2.0,1.0,0.0
Monica Geller,"Monica Geller: Oh my God, oh my God, oh my God. Monica Geller: Jean-Claude Van Damme. I didn't know he was in this movie, he is so hot. Monica Geller: The muscles from Brussels, wham bam Van Damme, did you see Time Cop? Monica Geller: Rachel, he like, totally changed time. Monica Geller: Oh, yeah. Monica Geller: He could hear me. Monica Geller: Oh Rachel don't, don't you dare, don't, don't. Tell him I cook. ",1.0,2.0,-1.0,1.0,1.0
Rachel,"Rachel: Ohh, please! Cooking soothes me. (They kiss.) Ahh. So, dig in! Rachel: (taking a bite) Hmmm! Rachel: Oh I know, my God, this is so-this rice is so-I am so good. Rachel: (sees the chick and the duck) Oh, yeah, I'm sorry. They used to live here; sometimes they migrate back over. Rachel: Yeah, sure, okay. Okay. Rachel: All gone! So, farm birds, huh? Rachel: Oh. Rachel: Okay. So, can I serve you a little of-What? What? What? (She sees that Joshua isn't relaxed.) Rachel: But, they're across the hall! I mean that's two doors away, it would take them a long time to peck their way back over here. Rachel: Okay, y'know, would you feel better if we went someplace else? I mean we could pack all this stuff up and y'know go to your apartment. Rachel: Your parents'? ",0.0,0.0,0.0,0.0,-1.0
Rachel Green,"Rachel Green: Well I. . . Rachel Green: [reluctantly] Uh-huh. Rachel Green: Uh-huh. Rachel Green: No. Well, yeah, maybe. Rachel Green: What's 1922? Rachel Green: Yes I do, it's just that Ross is. . . ",1.0,1.0,0.0,-2.0,1.0
Chandler Bing,Chandler Bing: How about Joey... Pepponi? Chandler Bing: Joey... Switzerland? Chandler Bing: Joe...Joe...Joe...Stalin? ,3.0,-1.0,0.0,3.0,1.0
Monica Geller,"Monica Geller: Ok, we're not having birthday cake, we're having birthday flan. Monica Geller: It's a traditional Mexican custard dessert. Monica Geller: [answers the door] Dr. Greene. Oh my God it's Rachel's dad. What're you doing here? Monica Geller: No no, the father can, but um, since I am the roommate I can tell you that she's not here and I'll pass along the message, ok. So bye-bye. Monica Geller: No, no, not a party. Just a surprise gathering of some people Rachel knows. Um, this is Phoebe and Chandler and Joey. Monica Geller: Chinese menu guy. Forgot the menus. Monica Geller: Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet. ",1.0,1.0,1.0,2.0,1.0
Monica Geller,Monica Geller: Hello? Monica Geller: C'mon up. ,1.0,2.0,1.0,2.0,1.0
Tour Guide,"Tour Guide: You mean Dr. Geller? Tour Guide: Oh, he won't sit here. Only the people in the white coats sit over there, (Points to there table) and only the people in the blue blazers sit here. Tour Guide: That's just the way it is. ",1.0,-1.0,2.0,-1.0,1.0
Chip,"Chip: ...and then Zana, just let one rip!! (laughs histerically) Chip: You know where I work! ",1.0,-1.0,2.0,2.0,0.0
Chandler Bing,"Chandler Bing: OK, now wait a minute. That is the craziest typing test I've ever seen. ",2.0,0.0,1.0,0.0,2.0
Rachel,"Rachel: (entering) Hey! Rachel: I need to talk to you! Rachel: Oh, sorry. I meant Chandler. Rachel: Okay, my boss, Joanna, when you left, she started asking questions about you... Rachel: (looks at him) That was (pause) surreal. Okay, what do think? Are you interested at all? Rachel: Oh thank you, Chandler, this is so great, she's gonna love me. ",2.0,1.0,2.0,2.0,1.0
Carol Willick,"Carol Willick: How did we do? Carol Willick: Why'd you freak out? Carol Willick: My breast milk is gross? Carol Willick: Ross, you're being silly. I've tried it, it's no big deal. Just taste it. (Holding out a bottle.) ",1.0,2.0,1.0,1.0,2.0
Rachel,Rachel: I didn't know there were docks. Rachel: Did you tell the doctor you did it jumping up and down on your bed? ,2.0,1.0,1.0,2.0,2.0
Phoebe,"Phoebe: (answering the phone) (whispering) Ross, thank God. Phoebe: I ate a bug. Phoebe: Listen Ross, we ran out of gas, and we don't know where we are, so we can't get a tow truck. Phoebe: Yes, please. ",2.0,1.0,3.0,1.0,1.0
Monica,"Monica: Hey, Joey, I don't think that you should leave Chandler alone. I mean it's only been two days since he broke up with Kathy. Maybe you can go fishing next week? Monica: What's Phase Two? ",2.0,2.0,0.0,3.0,1.0
Monica,"Monica: It just makes more sense as an ensemble. Monica: Besides, it takes the focus off the hat. Monica: Sure, we have no money, go ahead. Monica: Oh my God! He just said my name! Did you hear that? Monica: Did he just say 'Monica bang'? Monica: Oh my God! He's gonna rat me out! ",0.0,1.0,1.0,0.0,-2.0
Rachel,"Rachel: (depressed) Hi. Rachel: Manhattan does not have enough stores. Rachel: You can? Rachel: Um-hmm. Rachel: Okay. Rachel: Ooh, is this one of those things where you throw it in a bag with some graveyard dirt and hang it from a north-facing tree? Rachel: I can do that. I certainly did it when we were going out. Rachel: I don't know, his uh, his hair never really bothered me that much, and y'know it was always more crunchy than it was greasy. Rachel: Okay. Rachel: All right. ",2.0,1.0,1.0,2.0,1.0
Monica Geller,"Monica Geller: What d'you think? Monica Geller: Oh, no thanks, we're just here to observe. Monica Geller: Okay, d'y'see anybody you think could be me? Monica Geller: Okay, I'm not getting this! Monica Geller: Did you ever feel like sometimes you are just so unbelievably uncoordinated? Monica Geller: Great. It's gym class all over again. Monica Geller: Why don't I just take off my clothes and have a nightmare. Monica Geller: Oh. Monica! ...Hi. I'm Mo- ...nana. ",-2.0,0.0,-1.0,-1.0,1.0
Chandler,"Chandler: No, no, no, actually losers rhyme. Chandler: (coming up under center, just like a real quarterback does, and puts his hands between Ross's legs.) Twenty-three!! Seventy-four!! (Ross stands up and looks at him) You wanna go shotgun? Chandler: (from the shotgun) Hike! Chandler: Great! Now, the score is 7 to almost 7. ",1.0,1.0,3.0,2.0,1.0
Rachel Green,"Rachel Green: Ummmm.... well, actually I'm already done, but I...I kinda got plans. Rachel Green: Yeah... I, uhh... I have a... I have a date. Rachel Green: What? What is so strange about me having a date? Rachel Green: Noooo, no, I'm not mad at him. I'm.. I'm not really anything at him anymore. ",0.0,-1.0,0.0,1.0,-3.0
Rachel,"Rachel: And I still have about five seconds to spare. (kisses him) Okay, that was about seven seconds. ",2.0,1.0,3.0,1.0,1.0
Phoebe,"Phoebe: Oh, hey, Mon, do you still have your like old blouses and dresses from high school? Phoebe: Well, it's just that maternity clothes are so expensive. Phoebe: Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy? Phoebe: That sounds great! ",0.0,1.0,2.0,1.0,0.0
Joey,"Joey: Hey-hey, what's going on? Joey: Thanks for telling me! Joey: Ohhhh, good one! And Yemen that actually sounds like a real country. Joey: Nope. (To Ross) Man look at this! Ross, I can't believe you said you'd play rugby. I mean look how brutal this is! Joey: (pointing to the TV) Okay, Ross, look-look-look-look, look right here. That's called a scrum, okay? It's kinda like a huddle. Joey: Ross! (Laughs) They're gonna kill you! ",3.0,1.0,1.0,2.0,1.0
Ross Geller,"Ross Geller: That was 14 hours ago. Ross Geller: Oh. Listen, have you ever been uh, you know, foolin' around with a girl and uh, she started laughin'? Ross Geller: Yeah. I don't know, I've been wanting this since like ninth grade typing, ya know. And I just want it to be perfect and right and. . . why isn't that laser beam cutting through the paint? Ross Geller: Hey. ",1.0,2.0,0.0,1.0,2.0
Carol Willick,"Carol Willick: Look, you don't have to talk to it. You can sing to it if you want. Carol Willick: I did. ",2.0,2.0,1.0,1.0,3.0
Aunt Iris,"Aunt Iris: Is Tony Randall dead? Aunt Iris: Well, he may be now, because I think I hit him with my car. ",1.0,2.0,0.0,3.0,3.0
Chandler Bing,"Chandler Bing: Hey, sorry I'm late. Congratulations, Mon. (to Ross) I'm not sorry I'm late. How incredible was my afternoon with Jade? Chandler Bing: Oh, see, I had to tell her that my number was your number, because I couldn't tell her that my number was my number because she thinks that my number is Bob's number. ",0.0,0.0,-1.0,2.0,2.0
Chandler Bing,"Chandler Bing: This isn't your first surprise party, is it sir? [knock at the door, Monica answers to see Mrs. Greene] Chandler Bing: So, basically just a Chinese guy. ",1.0,2.0,2.0,1.0,1.0
Monica Geller,"Monica Geller: (taking a drink from Joey) Are you through with that? Monica Geller: Whose little ball of paper is this?! Monica Geller: Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have. Monica Geller: That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. Monica Geller: What? ",0.0,0.0,0.0,0.0,-1.0
Joey Tribbiani,Joey Tribbiani: (entering) You know there already is a Joseph Stalin? ,2.0,-2.0,1.0,1.0,2.0
Ross Geller,"Ross Geller: So, um, what do you do for a living? ",1.0,0.0,0.0,2.0,2.0
Ross Geller,"Ross Geller: I can't believe you'd rather go out with him than me. Ross Geller: Fine, just stop thinking about me. Ross Geller: Can't do it, can you? Ross Geller: I don't get it. What do you see in this guy, anyway? Ross Geller: Rachel, come on. Give us a chance. Ross Geller: No, no, no... why, because it might get weird for everyone else? Who cares about them. This is about us. Look, I-I've been in love with you since, like, the ninth grade. Ross Geller: I know. Ross Geller: Whoa, whoa, whoa. What makes you think we're gonna break up? Ross Geller: (pause) No. But... it only has to happen once. Look, you and I both know we are perfect for each other, right? I mean... so, the only question is... are you attracted to me? Ross Geller: Well, start looking. ",0.0,2.0,1.0,3.0,0.0
Monica,Monica: Yeah. Monica: No. Why? Monica: Really?! ,1.0,0.0,0.0,1.0,3.0
Joey,"Joey: Hey, Monica bought a bed from the Mattress King? Joey: You want me to lie to Chandler? Joey: No. Joey: Hey, you're ah, pretty good at this. Joey: Ahh! Joey: Hey now! Joey: Hey!!! Oww!! And I'm bleeding. Joey: Okay, great. Joey: Okay. ",2.0,-1.0,1.0,2.0,1.0
Joey Tribbiani,"Joey Tribbiani: Hey. Joey Tribbiani: Well, the part's mine if I want it. Joey Tribbiani: Yeah, if I'm willing to sleep with the casting lady. Joey Tribbiani: Ten years I've been waiting for a break like this Chandler, ten years! I mean, Days of Our Lives. That's actually on television. Joey Tribbiani: Well, I guess I could sleep with her... I mean, how could I do that? Joey Tribbiani: I've never slept with someone for a part. Joey Tribbiani: Sorry. ",0.0,1.0,1.0,-3.0,-1.0
Monica,"Monica: Oh my God! Ohh! Look at this one! It's so beautiful! Monica: Oh, yes, umm, I'm here to pick up a dress that you have on hold. Monica: Emily Waltham. Monica: (laughs) Okay. Monica: I am, aren't I? ",2.0,1.0,2.0,2.0,-2.0
Joey Tribbiani,Joey Tribbiani: Oh my God. ,0.0,0.0,1.0,1.0,-2.0
Chandler Bing,"Chandler Bing: [enters] Ding dong, the psycho's gone. Chandler Bing: Yes, yes I actually saw him leave. I mean that guy is standing in the window holding a human head. He is STANDING IN THE WINDOW HOLDING A HUMAN HEAD! Chandler Bing: Our next cocktail party? Chandler Bing: Eddie, do you remember yesterday? Chandler Bing: Do you remember talking to me yesterday? Chandler Bing: So what happened? Chandler Bing: Oh sweet Moses. ",0.0,1.0,3.0,0.0,0.0
Phoebe Buffay,"Phoebe Buffay: No, you are not, you are very attractive. You know what, I go through the exact same thing. Every time I put on a little weight, I start questioning everyting. Phoebe Buffay: No, not wieght... y'know, more like insulation. ",2.0,1.0,2.0,0.0,2.0
Chandler,"Chandler: Oh yeah, gym member. I try to go four times a week, but I've missed the last 1200 times. Chandler: You don't think I've tried? You think I like having 50 dollars taken out of my bank account every month? No, they make you go all the way down there! Then they use all of these phrases and peppiness to try and confuse you! Then they bring out Maria. ",-1.0,-1.0,2.0,-1.0,-1.0
Monica Geller,"Monica Geller: That would be the work of a Blowfish. Monica Geller: It's work. Monica Geller: (on phone) Yeah, hi, it's Monica. I just got a page. ",0.0,0.0,1.0,-1.0,1.0
Max,Max: Daryl Hannah. ,2.0,1.0,0.0,1.0,0.0
Monica,"Monica: (entering) Hey! Monica: You made pancakes? Monica: Okay. (She does so and starts to walk towards Joey to receive her pancakes.) Monica: Oh, I was thinking about having people over for the game. ",3.0,2.0,2.0,3.0,1.0
Monica,,0.0,0.0,0.0,0.0,0.0
Woman On Train,"Woman On Train: I made a bet with myself that you have beautiful eyes. Now that I see them, I win. ",0.0,1.0,2.0,2.0,1.0
Mr. Waltham,"Mr. Waltham: No. Mr. Waltham: We've come for her things. Mr. Waltham: She's in hiding. She's utterly humiliated. She doesn't want to see you ever again. Mr. Waltham: Excuse me, I'm standing right here! ",-1.0,-2.0,0.0,-2.0,0.0
Ross,"Ross: (to Gunther) Thank you. Ross: Isabella Rosselini. (points to her) Ross: Damn! I can't believe I took her off my list. Ross: Yeah, maybe. Ross: What you don't think I'd go up to her? Ross: Yeah, well missy, you better be glad that list is laminated. Ross: Okay, hold my crawler. Ross: (to Isabella) Hi! Hi, I'm Ross, you don't know me, but I'm a big, big fan of yours. I mean, Blue Velvet, woo-oo hoo! Um, I was wondering if I could um, maybe buy you a cup of coffee? (Gunther hands her change) Or maybe reimburse you for that one? Ross: Well, yeah, kinda. Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, (gets his out) so I'm allowed to sleep with you. No, no, no, it's flattery. Ross: Oh no, no, no, wait, wait, Isabella. Don't, don't just dismiss this so fast. I mean this is a once in a lifetime opportunity... Ross: Um, yeah. Ross: Um, no. Ross: But, okay. Ross: Um, see, but that's not the final draft. ",3.0,2.0,2.0,2.0,2.0
Monica Geller,"Monica Geller: Why? Monica Geller: Oh my God. (Grabs Phoebe and turns her away) Phoebe. Don't look now, but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression. Monica Geller: He's coming. Be cool, be cool, be cool. Monica Geller: We are not going to whistle. Monica Geller: No! ",-1.0,2.0,-1.0,-2.0,0.0
Monica Geller,"Monica Geller: Ok, thanks for coming, I hope you guys had fun. Monica Geller: Ok will do. So glad you came. Monica Geller: Ok, let me go check. Your mom want's to say goodbye. ",3.0,2.0,2.0,0.0,2.0
Phoebe Buffay,"Phoebe Buffay: No, huh uh, no way, I'm sorry, not gonna happen. Phoebe Buffay: I'm sorry, Monica, I'm really happy you got promoted, but cold cucumber mush for thirty-something bucks? No! Rachel just had that, that, that salad, and, and Joey with his like teeny pizza! It's just... Phoebe Buffay: Not for you. Phoebe Buffay: Fine. All right, fine. ",-1.0,2.0,3.0,0.0,0.0
Ross Geller,"Ross Geller: You know what, this is ridiculous, ok. This is your birthday, this is your party. I say we just put 'em all together and if they can't deal with it, who cares. Ross Geller: That's who. ",2.0,2.0,3.0,1.0,0.0
Ross Geller,"Ross Geller: No, of course not! (Thinks) ...Yeah, yeah, it is. ",1.0,0.0,-1.0,0.0,-1.0
Chandler Bing,"Chandler Bing: That's a good plan, Joe. Next time we wanna pick up women, we should just go to the park and make out. Taxi, taxi! Chandler Bing: (to taxi driver) Just practicing. You're good. Carry on. Chandler Bing: Ok, but can you tell him that, because he thinks he's too pink. Chandler Bing: You done? ",1.0,0.0,1.0,3.0,0.0
Monica,Monica: Would you ever be a surrogate for anyone? Monica: What if I asked? ,0.0,2.0,0.0,1.0,1.0
Phoebe Buffay,"Phoebe Buffay: [enters] Hey. Phoebe Buffay: Ok, I talked to the vet, people are so nice upstate. Anyway, he said that the little fella's gonna be ok and I can pick him up tomorrow. Phoebe Buffay: Yeah, but he did have to have a bunch of stitches and he said that only once in a blue moon does a dog's ear grow back so...still hoping. Phoebe Buffay: I, I don't wanna meet my father over the phone.                What am I gonna say, like 'Hi, I'm Phoebe, the daughter you abandoned. Oh, by the way, I broke your dog.' Phoebe Buffay: Ok. Listen, just don't say anything about me, ok. [goes over and grabs the phone that's sitting by Monica] ",0.0,-1.0,-1.0,-1.0,-2.0
Joey Tribbiani,Joey Tribbiani: Instead of...? Joey Tribbiani: Never had that dream. ,-1.0,1.0,1.0,2.0,2.0
Monica Geller,"Monica Geller: What? I didn't say anything. Monica Geller: I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed. Monica Geller: How who wears it? Monica Geller: Demi Moore is not a he. Monica Geller: That's Dudley Moore. I said I wanted it like Demi Moore. Monica Geller: Oh my God! ",0.0,1.0,0.0,0.0,-2.0
Rachel,"Rachel: Oh-hooo, I missed you. Rachel: Ooh, I was soo nervous about that letter. But the way you owned up to everything, it just showed me how much you've grown. Y'know? Rachel: You have! Ross, you should give yourself credit. I mean my Mom never thought this would work out. It was all, ""Once a cheater, always a cheater."" Rachel: Ooh, I just wish we hadn't lost those four months, but if time was what you needed just to gain a little perspective... Rachel: Yeah! You and that girl from that copy place, which yesterday you took full responsibility for!! Rachel: What?!! Rachel: You fell asleep?! Rachel: Y'know I can't believe I even thought about getting back together again! We are so over!! Rachel: Oh, oh, and hey-hey-hey, those little spelling tips will come in handy when you're at home on Saturday nights playing Scrabble with Monica!! ",-1.0,0.0,2.0,1.0,1.0
Ross,"Ross: That's okay. She's still in there enjoying her fake party and uh, it's too late to do any of the things I had planned, so... Ross: Yeah. Ross: Helps a little. Ross: Yeah, have a seat. Ross: That's okay, I mean it was just two-week thing anyway, I just didn't want it to end this way, y'know? Ross: What do you mean? Ross: Yeah, I really do. Yeah, but what am I gonna do, I mean we-we both agreed that it was gonna be a two-week thing, y'know no commitment. Ross: You think? Ross: Hey, you're right. Ross: Thanks. (He starts to go inside and stops.) What photo album was it? Ross: Oh my God! Those weren't albino kids, that was computer camp! Rach! (He hurries inside and Chandler is taking out the garbage.) ",2.0,1.0,1.0,2.0,2.0
Chandler,"Chandler: Hey. Chandler: (shocked) Yes! Yes! A thousand times, yes! Chandler: Oh, it's awkward. It's awkward. It's awkward. Chandler: You can be the best man when I get married. Chandler: Oh no-no-no, you-yeah, of course you get to be my best man. Chandler: I'm not even getting married! Okay, this is a question for science fiction writers! ",0.0,1.0,1.0,3.0,1.0
Joey,"Joey: (getting an idea) Hey, y'know what a really good rainy day game is? Joey: I mean naked game. Strip poker, we should totally play strip poker. Joey: Come on! When you go away, you-you have to play, it's like a law! ",1.0,-1.0,1.0,2.0,0.0
Rachel Green,"Rachel Green: [coldly] When somebody does not buzz you in, Ross, that means go away. That doesn't mean please climb up the fire escape. Rachel Green: Not interested. [Rachel closes the drapes over the window, goes into her bedroom and closes the door.] ",-1.0,1.0,0.0,1.0,-1.0
Rachel,"Rachel: I have an extra ticket. An extra ticket. Not, two tickets, I have an extra ticket. Rachel: He didn't turn me down! He's at the game isn't he? I got the date, I'm just not on it! Rachel: Wow! Monica! ",2.0,1.0,0.0,2.0,1.0
Chandler,Chandler: (entering) Hello! Chandler: (sarcastic) Noo. Chandler: I didn't know that. ,-1.0,1.0,0.0,0.0,2.0
Phoebe,"Phoebe: Thanks! Phoebe: Okay. (on phone) Ooh, I'm setting the phone down. (does so) But I'm still here! Just don't go anywhere I'm still here. (starts to put on the sweater) Don't-don't switch or anything, 'cause I'm, I'm right here. (She has pulled the sweater over her head, but her head is stuck in a sleeve.) Just one sec. One sec! One second!! (She is now frantically trying to get the sweater on, as Monica returns from the bathroom.) Wait! One second! Just... Phoebe: What?! Monica, I'm scared!! Phoebe: Yeah. ",-1.0,1.0,1.0,-1.0,-1.0
Monica Geller,"Monica Geller: I wanna watch Entertainment Tonight. Monica Geller: It's my TV. Monica Geller: Bite me. Monica Geller: Oh that's great, why don't you tell mommy on me. Monica Geller: OK, what're we gonna do about this? Monica Geller: Not that, this, US. Oh my God, Ross, you-re, you're, it's jus-, you-, ever sin- you been here. Monica Geller: I just can't stand you being here all the time. Monica Geller: Fun? Fun, you think this is fun? Monica Geller: Ross, I hated you when we were kids. Monica Geller: Yes. I hated you. I mean I, I, loved you in a 'you're my brother so I have to' kind of way, but basically, yeah, I hated your guts. Monica Geller: Because, you were mean to me and you, you teased me and you always, always got your way. Monica Geller: Duh-huh! Monica Geller: Now I love you. And not just 'cause I have to. Monica Geller: Yeah. You're just gonna have to stop pissing me off. Monica Geller: Then I won't have to kill you. ",1.0,3.0,3.0,1.0,2.0
Susan Bunch,"Susan Bunch: No, she's at a faculty meeting. Susan Bunch: What's it look like? Susan Bunch: Yes, I'm familiar with the concept. We can just look for it. Susan Bunch: Well, you know, you have to take a course. Otherwise, they don't let you do it. Susan Bunch: Actually, I'm reading it to the baby. Susan Bunch: What, you don't think they can hear sounds in there? ",0.0,0.0,3.0,1.0,2.0
Rachel Green,"Rachel Green: I don't know. I don't know... I thought about it all the way there, and I thought about it all the way back... and, uh, oh, you guys, y'know, it's Ross. Y'know what I mean? I mean, it's Ross. Rachel Green: I don't know, I mean, this is just my initial gut feeling... but I'm thinking... oh, I'm thinking it'd be really great. Rachel Green: (confused) Huh? Rachel Green: I don't know... sometimes it doesn't. Rachel Green: No! Rachel Green: No, I'm just.... ",2.0,1.0,2.0,2.0,0.0
Angela Delvecchio,"Angela Delvecchio: Forget it Joey. I'm with Bob now. Angela Delvecchio: Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob... Angela Delvecchio: Yeah, well, sorry, Joe. You said let's just be friends, so guess what? ",1.0,3.0,2.0,1.0,1.0
